settlement_id,settlement_name,settlement_type,ward_code,lga_code,longitude,latitude,target_population_under5,ward_name,lga_name,base_radius_m,nn_dist_m,n_track_points,n_visiting_teams,visiting_teams,first_visit_ts,last_visit_ts,any_ambiguous_match,track_visited,security_classification,buffer_overlaps_neighbor,etally_doses_total,etally_target_pop,etally_n_days_reported,etally_teams,etally_reported,n_active_days,ward_ever_active,complete_gps_blackout,coverage_status,dose_coverage_ratio,is_missed,gi_star_z,gi_star_p_sim,fdr_significant,cluster_label
S01068,Datsiwa,Village,W014,LGA01,7.464528,11.464702,269.0,Bishama,Idi-Oro,150.0,432.0840322747418,0,0,,,,False,False,Accessible,False,229,269.0,1.0,T14,True,5,True,False,Tally-only (no GPS confirmation),0.8513011152416357,0,0.7093283968014948,0.312,False,Not significant
S01469,Suluja-Tudun,Village,W020,LGA01,7.702347,11.129288,201.0,Famade,Idi-Oro,150.0,1078.05464939874,0,0,,,,False,False,Accessible,False,190,201.0,1.0,T20,True,5,True,False,Tally-only (no GPS confirmation),0.945273631840796,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S01708,Irnani,Village,W026,LGA03,7.691609,11.518098,156.0,Kungomi,Katsuma,150.0,1196.2198886827257,0,0,,,,False,False,Accessible,False,123,156.0,1.0,T26,True,5,True,False,Tally-only (no GPS confirmation),0.7884615384615384,0,-0.2521623476541578,0.304,False,Not significant
S01539,Hakosa,Settlement,W021,LGA02,7.894844,10.479033,20.0,Yezata,Gwarin,150.0,664.1270791601249,20,1,T21,2026-03-12 11:43:00,2026-03-12 12:02:00,False,True,Accessible,False,13,20.0,1.0,T21,True,5,True,False,Visited (track-confirmed),0.65,0,-0.2521623476541578,0.304,False,Not significant
S02280,Olyoru,Village,W036,LGA04,8.125907,10.757832,35.0,Mawako,Ilela,150.0,845.234833375489,0,0,,,,False,False,Accessible,False,32,35.0,1.0,T04,True,5,True,False,Tally-only (no GPS confirmation),0.9142857142857143,0,0.7093283968014948,0.312,False,Not significant
S00332,Ekbade,Hamlet,W004,LGA02,7.187035,10.61587,8.0,Yesawo,Gwarin,150.0,3064.5436444750667,0,0,,,,False,False,Accessible,False,5,8.0,1.0,T04,True,5,True,False,Tally-only (no GPS confirmation),0.625,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S00146,Bawawo,Village,W002,LGA01,7.208947,10.766289,90.0,Ekduru,Idi-Oro,150.0,422.3437535629986,0,0,,,,False,False,Accessible,False,71,90.0,1.0,T02,True,5,True,False,Tally-only (no GPS confirmation),0.7888888888888889,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S02375,Farayi,Settlement,W038,LGA03,8.335275,11.300854,91.0,Sashasa,Katsuma,150.0,5605.761610387578,0,0,,,,False,False,Accessible,False,92,91.0,1.0,T06,True,5,True,False,Tally-only (no GPS confirmation),1.010989010989011,0,-0.2521623476541578,0.304,False,Not significant
S02237,Irlaba,Village,W035,LGA04,8.22947,11.010683,87.0,Dazata,Ilela,150.0,653.1490667770994,0,0,,,,False,False,Accessible,False,75,87.0,1.0,T03,True,5,True,True,Tally-only (no GPS confirmation),0.8620689655172413,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S01977,Kushama,Hamlet,W030,LGA04,7.88339,10.630549,46.0,Yeride,Ilela,150.0,901.7004019717622,0,0,,,,False,False,Accessible,False,0,,,,False,5,True,False,Plausible miss,0.0,1,-0.2521623476541578,0.001,True,Cold spot (well-covered cluster)
S01470,Lobale,Settlement,W020,LGA01,7.720615,11.161519,44.0,Famade,Idi-Oro,150.0,464.62692736906064,11,1,T20,2026-03-10 10:08:00,2026-03-10 11:39:00,False,True,Accessible,False,45,44.0,1.0,T20,True,5,True,False,Visited (track-confirmed),1.0227272727272727,0,-0.2521623476541578,0.302,False,Not significant
S00088,Ekrafa,Urban block,W001,LGA01,7.04016,10.955648,1017.0,Ekngoyi,Idi-Oro,119.44523003127418,298.61307507818543,0,0,,,,False,False,Accessible,False,1015,1017.0,1.0,T01,True,5,True,False,Tally-only (no GPS confirmation),0.9980334316617503,0,0.7093283968014948,0.313,False,Not significant
S00243,Surifa,Settlement,W003,LGA01,7.389459,11.077727,61.0,Satita,Idi-Oro,150.0,1002.3022745988617,0,0,,,,False,False,Accessible,False,0,,,,False,5,True,False,Plausible miss,0.0,1,0.7093283968014948,0.303,False,Not significant
S01548,Salaja,Hamlet,W021,LGA02,7.86192,10.471374,21.0,Yezata,Gwarin,150.0,418.43462273265135,21,1,T21,2026-03-13 10:28:00,2026-03-13 10:48:00,False,True,Accessible,False,20,21.0,1.0,T21,True,5,True,False,Visited (track-confirmed),0.9523809523809523,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S00497,Sungori-Arewa,Urban block,W006,LGA01,7.275823,11.216771,162.0,Okradu,Idi-Oro,150.0,460.35426698042517,0,0,,,,False,False,Accessible,False,137,162.0,1.0,T06,True,5,True,False,Tally-only (no GPS confirmation),0.845679012345679,0,0.7093283968014948,0.317,False,Not significant
S00823,Bazawo,Hamlet,W009,LGA02,7.493541,11.032353,13.0,Washatu,Gwarin,150.0,414.26348734236404,96,1,T09,2026-03-13 10:45:00,2026-03-13 12:35:00,False,True,Accessible,False,8,13.0,1.0,T09,True,5,True,False,Visited (track-confirmed),0.6153846153846154,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S02131,Lorami,Hamlet,W033,LGA03,7.994927,11.122978,52.0,Tasayi,Katsuma,150.0,706.149674190854,8,1,T02,2026-03-09 15:36:00,2026-03-12 14:25:00,False,True,Accessible,False,38,52.0,1.0,T01,True,5,True,False,Visited (track-confirmed),0.7307692307692307,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S00003,Watiru,Hamlet,W001,LGA01,7.064421,11.019136,61.0,Ekngoyi,Idi-Oro,150.0,1095.9404057028378,0,0,,,,False,False,Accessible,False,40,61.0,1.0,T01,True,5,True,False,Tally-only (no GPS confirmation),0.6557377049180327,0,-0.2521623476541578,0.301,False,Not significant
S00900,Enjiwa,Settlement,W011,LGA02,7.641796,10.404567,34.0,Enyoko-Kofar,Gwarin,150.0,2783.631005346486,19,1,T11,2026-03-11 09:55:00,2026-03-11 10:13:00,False,True,Accessible,False,23,34.0,1.0,T11,True,5,True,False,Visited (track-confirmed),0.6764705882352942,0,-0.2521623476541578,0.301,False,Not significant
S00059,Agwako,Hamlet,W001,LGA01,7.069533,10.962133,63.0,Ekngoyi,Idi-Oro,150.0,501.58212478270644,24,1,T01,2026-03-13 07:30:00,2026-03-13 07:53:00,False,True,Accessible,False,40,63.0,1.0,T01,True,5,True,False,Visited (track-confirmed),0.6349206349206349,0,-0.2521623476541578,0.301,False,Not significant
S01204,Gulawo,Village,W015,LGA01,7.500583,11.220344,153.0,Baluru,Idi-Oro,150.0,396.16800837799855,4,1,T15,2026-03-11 09:46:00,2026-03-11 09:49:00,False,True,Accessible,False,96,153.0,1.0,T15,True,5,True,False,Visited (track-confirmed),0.6274509803921569,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S01231,Tadefa,Village,W016,LGA02,7.562329,10.449011,42.0,Uzritu,Gwarin,150.0,1036.1269153186738,20,1,T16,2026-03-12 14:09:00,2026-03-12 14:28:00,False,True,Accessible,False,25,42.0,1.0,T16,True,5,True,False,Visited (track-confirmed),0.5952380952380952,0,0.7093283968014948,0.317,False,Not significant
S01428,Mabema,Hamlet,W020,LGA01,7.719464,11.132187,22.0,Famade,Idi-Oro,150.0,752.9444726389966,0,0,,,,False,False,Accessible,False,13,22.0,1.0,T20,True,5,True,False,Tally-only (no GPS confirmation),0.5909090909090909,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S01857,Zawana,Hamlet,W029,LGA04,8.013091,10.959745,22.0,Wangoni,Ilela,150.0,1517.2038044605272,0,0,,,,False,False,Accessible,False,0,,,,False,5,True,False,Plausible miss,0.0,1,0.7093283968014948,0.302,False,Not significant
S02469,Guwari,Hamlet,W039,LGA04,8.343515,10.936809,11.0,Nungoni-Arewa,Ilela,150.0,561.0262182818404,0,0,,,,False,False,Accessible,False,9,11.0,1.0,T07,True,5,True,True,Tally-only (no GPS confirmation),0.8181818181818182,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S02050,Suwale-Yamma,Hamlet,W032,LGA04,8.074325,10.853374,10.0,Bisani-Gabas,Ilela,50.0,39.700948835065944,0,0,,,,False,False,Accessible,True,0,,,,False,5,True,False,Plausible miss,0.0,1,-0.2521623476541578,0.001,True,Cold spot (well-covered cluster)
S01590,Yetsile-Sabo,Settlement,W023,LGA03,7.927977,11.178386,54.0,Suwade,Katsuma,150.0,1059.1801364867074,22,1,T23,2026-03-11 14:17:00,2026-03-11 14:38:00,False,True,Accessible,False,44,54.0,1.0,T23,True,5,True,False,Visited (track-confirmed),0.8148148148148148,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S00353,Sushadu-Yamma,Village,W004,LGA02,7.178882,10.685413,23.0,Yesawo,Gwarin,150.0,429.02901559244077,0,0,,,,False,False,Accessible,False,19,23.0,1.0,T04,True,5,True,False,Tally-only (no GPS confirmation),0.8260869565217391,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S00991,Irduja,Settlement,W013,LGA02,7.448425,10.555048,88.0,Sashako,Gwarin,150.0,877.2738696063615,24,1,T13,2026-03-12 16:10:00,2026-03-12 16:33:00,False,True,Accessible,False,90,88.0,1.0,T13,True,5,True,False,Visited (track-confirmed),1.0227272727272727,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S01142,Olwawo-Gabas,Village,W015,LGA01,7.568707,11.230905,147.0,Baluru,Idi-Oro,150.0,1707.515781506932,0,0,,,,False,False,Accessible,False,0,,,,False,5,True,False,Plausible miss,0.0,1,0.7093283968014948,0.302,False,Not significant
S00614,Ekduwo,Village,W007,LGA01,7.372307,11.178965,57.0,Bayoyi,Idi-Oro,150.0,1278.5121581712583,0,0,,,,False,False,Accessible,False,51,57.0,1.0,T07,True,5,True,False,Tally-only (no GPS confirmation),0.8947368421052632,0,-0.2521623476541578,0.302,False,Not significant
S02169,Ibrifa,Hamlet,W034,LGA03,8.247769,11.218623,25.0,Dodeta,Katsuma,150.0,537.7552516097402,0,0,,,,False,False,Accessible,False,15,25.0,1.0,T02,True,5,True,False,Tally-only (no GPS confirmation),0.6,0,-0.2521623476541578,0.302,False,Not significant
S00905,Gurawa,Settlement,W011,LGA02,7.611107,10.389166,66.0,Enyoko-Kofar,Gwarin,150.0,1603.318797729307,21,1,T11,2026-03-11 08:38:00,2026-03-11 09:01:00,False,True,Accessible,False,51,66.0,1.0,T11,True,5,True,False,Visited (track-confirmed),0.7727272727272727,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S02512,Suderi,Urban block,W040,LGA04,8.385691,11.181207,159.0,Gujiri,Ilela,150.0,1110.8357890208913,0,0,,,,False,False,Accessible,False,155,159.0,1.0,T08,True,5,True,False,Tally-only (no GPS confirmation),0.9748427672955975,0,-0.2521623476541578,0.302,False,Not significant
D01777,Zashaba,Hamlet,W027,LGA03,7.922861,11.46693,24.0,Daberi,Katsuma,56.927309354846116,142.31827338711528,0,0,,,,False,False,Accessible,False,0,,,,False,5,True,False,Plausible miss,0.0,1,0.7093283968014948,0.302,False,Not significant
S00944,Haluta,Village,W012,LGA02,7.31043,10.516305,22.0,Darari,Gwarin,150.0,1323.28526779694,34,1,T12,2026-03-09 07:31:00,2026-03-09 08:05:00,False,True,Accessible,False,14,22.0,1.0,T12,True,5,True,False,Visited (track-confirmed),0.6363636363636364,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S00963,Enbewa-Tsakiya,Village,W013,LGA02,7.394855,10.601069,26.0,Sashako,Gwarin,150.0,2692.542281501101,112,1,T13,2026-03-13 12:45:00,2026-03-13 14:39:00,False,True,Accessible,False,27,26.0,1.0,T13,True,5,True,False,Visited (track-confirmed),1.0384615384615385,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S01699,Sajiba-Tudun,Village,W025,LGA04,7.819849,11.053403,35.0,Okriba,Ilela,150.0,1022.9265015829369,21,1,T25,2026-03-13 09:19:00,2026-03-13 09:39:00,False,True,Accessible,False,0,,,,False,5,True,False,Visited (track-confirmed),0.0,0,-0.2521623476541578,0.302,False,Not significant
S00209,Yetsiwa-Kudu,Village,W002,LGA01,7.235993,10.786187,369.0,Ekduru,Idi-Oro,93.6060653935013,234.01516348375324,0,0,,,,False,False,Accessible,False,323,369.0,1.0,T02,True,5,True,False,Tally-only (no GPS confirmation),0.8753387533875339,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S00896,Kuyoko,Village,W011,LGA02,7.676509,10.365949,110.0,Enyoko-Kofar,Gwarin,150.0,5247.9784740000005,0,0,,,,False,False,Accessible,False,68,110.0,1.0,T11,True,5,True,False,Tally-only (no GPS confirmation),0.6181818181818182,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S01832,Watina,Village,W028,LGA04,7.898541,10.874006,63.0,Wangoja,Ilela,150.0,883.9579230713823,24,1,T28,2026-03-12 07:16:00,2026-03-12 07:39:00,False,True,Accessible,False,43,63.0,1.0,T28,True,5,True,False,Visited (track-confirmed),0.6825396825396826,0,-0.2521623476541578,0.302,False,Not significant
S02384,Uzbatu,Village,W038,LGA03,8.428792,11.288223,96.0,Sashasa,Katsuma,150.0,1906.8349888038679,0,0,,,,False,False,Accessible,False,61,96.0,1.0,T06,True,5,True,False,Tally-only (no GPS confirmation),0.6354166666666666,0,-0.2521623476541578,0.302,False,Not significant
S00139,Dangowo,Urban block,W002,LGA01,7.227429,10.797377,929.0,Ekduru,Idi-Oro,150.0,808.5605420494372,0,0,,,,False,False,Accessible,False,540,929.0,1.0,T02,True,5,True,False,Tally-only (no GPS confirmation),0.581270182992465,0,-0.2521623476541578,0.302,False,Not significant
S01577,Dobaru,Village,W022,LGA03,8.058061,11.527257,107.0,Sudefa,Katsuma,150.0,1223.1720403686768,0,0,,,,False,False,Accessible,False,0,,,,False,5,True,False,Plausible miss,0.0,1,1.6708191412571471,0.31,False,Not significant
S01327,Faluna,Village,W018,LGA02,7.542991,10.711187,189.0,Adwana,Gwarin,150.0,3528.6233541002566,0,0,,,,False,False,Accessible,False,110,189.0,1.0,T18,True,5,True,False,Tally-only (no GPS confirmation),0.582010582010582,0,-0.2521623476541578,0.302,False,Not significant
S00926,Sungodu,Village,W012,LGA02,7.324586,10.514205,115.0,Darari,Gwarin,150.0,657.3982878020878,32,1,T12,2026-03-10 17:51:00,2026-03-10 18:22:00,False,True,Accessible,False,89,115.0,1.0,T12,True,5,True,False,Visited (track-confirmed),0.7739130434782608,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S00535,Lolata,Hamlet,W007,LGA01,7.320748,11.329382,42.0,Bayoyi,Idi-Oro,116.74532152164726,291.8633038041181,0,0,,,,False,False,Accessible,False,38,42.0,1.0,T07,True,5,True,False,Tally-only (no GPS confirmation),0.9047619047619048,0,0.7093283968014948,0.312,False,Not significant
S01821,Gukoshi,Settlement,W028,LGA04,7.982939,10.785464,35.0,Wangoja,Ilela,150.0,676.2908551641856,0,0,,,,False,False,Accessible,False,22,35.0,1.0,T28,True,5,True,False,Tally-only (no GPS confirmation),0.6285714285714286,0,-0.2521623476541578,0.302,False,Not significant
S00442,Enlale,Hamlet,W006,LGA01,7.149112,11.306452,40.0,Okradu,Idi-Oro,150.0,739.5934450252756,0,0,,,,False,False,Accessible,False,0,,,,False,5,True,False,Plausible miss,0.0,1,0.7093283968014948,0.302,False,Not significant
S01484,Wajiri,Urban block,W020,LGA01,7.748426430662183,11.065857,842.0,Famade,Idi-Oro,150.0,2520.9232033050725,0,0,,,,False,False,Accessible,False,876,842.0,1.0,T20,True,5,True,False,Tally-only (no GPS confirmation),1.0403800475059382,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S01742,Sutisa,Village,W026,LGA03,7.713533,11.547383,16.0,Kungomi,Katsuma,150.0,1104.9603658784235,0,0,,,,False,False,Accessible,False,9,16.0,1.0,T26,True,5,True,False,Tally-only (no GPS confirmation),0.5625,0,0.7093283968014948,0.313,False,Not significant
S01487,Sayoba-Kofar,Village,W020,LGA01,7.633072,11.073341,82.0,Famade,Idi-Oro,150.0,1078.4057915424971,5,1,T03,2026-03-09 13:53:00,2026-03-09 13:57:00,False,True,Accessible,False,86,82.0,1.0,T20,True,5,True,False,Visited (track-confirmed),1.048780487804878,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S01432,Jiradu,Urban block,W020,LGA01,7.620768,11.095678,617.0,Famade,Idi-Oro,150.0,555.2764807108132,0,0,,,,False,False,Accessible,False,621,617.0,1.0,T20,True,5,True,False,Tally-only (no GPS confirmation),1.006482982171799,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S01715,Jitsiri,Urban block,W026,LGA03,7.749957,11.411481,184.0,Kungomi,Katsuma,150.0,471.1171923006848,0,0,,,,False,False,Accessible,False,0,,,,False,5,True,False,Plausible miss,0.0,1,0.7093283968014948,0.303,False,Not significant
S02509,Sarayi,Village,W040,LGA04,8.361428,11.225112,148.0,Gujiri,Ilela,150.0,1743.3949211191086,0,0,,,,False,False,Accessible,False,92,148.0,1.0,T08,True,5,True,False,Tally-only (no GPS confirmation),0.6216216216216216,0,-0.2521623476541578,0.3,False,Not significant
S02252,Uzmaja-Kudu,Village,W035,LGA04,8.30584,11.006282,41.0,Dazata,Ilela,150.0,1563.2127478102057,0,0,,,,False,False,Accessible,False,35,41.0,1.0,T03,True,5,True,True,Tally-only (no GPS confirmation),0.8536585365853658,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S01368,Wajitu-Arewa,Village,W018,LGA02,7.564318,10.645325,38.0,Adwana,Gwarin,150.0,418.1195514138994,0,0,,,,False,False,Accessible,False,36,38.0,1.0,T18,True,5,True,False,Tally-only (no GPS confirmation),0.9473684210526315,0,-0.2521623476541578,0.3,False,Not significant
S01716,Wadeyi,Village,W026,LGA03,7.773778,11.420091,84.0,Kungomi,Katsuma,150.0,955.09700463144,7,1,T26,2026-03-11 11:36:00,2026-03-11 12:43:00,False,True,Accessible,False,47,84.0,1.0,T26,True,5,True,False,Visited (track-confirmed),0.5595238095238095,0,2.6323098857128,0.018,True,Hot spot (missed-settlement cluster)
S02089,Kuzasa,Hamlet,W032,LGA04,8.073848,10.948158,12.0,Bisani-Gabas,Ilela,150.0,1625.7840024106838,20,1,T32,2026-03-11 14:26:00,2026-03-11 14:45:00,False,True,Accessible,False,8,12.0,1.0,T32,True,5,True,False,Visited (track-confirmed),0.6666666666666666,0,-0.2521623476541578,0.3,False,Not significant
S01411,Gutini,Settlement,W019,LGA04,7.562944,11.037024,35.0,Umzaba-Kofar,Ilela,150.0,1405.6562201402394,0,0,,,,False,False,Accessible,False,0,,,,False,5,True,False,Plausible miss,0.0,1,0.7093283968014948,0.302,False,Not significant
S00316,Mabaru,Hamlet,W003,LGA01,7.253816,11.127691,52.0,Satita,Idi-Oro,150.0,629.8332691193554,0,0,,,,False,False,Accessible,False,55,52.0,1.0,T03,True,5,True,False,Tally-only (no GPS confirmation),1.0576923076923077,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S02201,Wabayi,Hamlet,W034,LGA03,8.259069,11.234848,38.0,Dodeta,Katsuma,150.0,1143.1096378613177,0,0,,,,False,False,Accessible,False,21,38.0,1.0,T02,True,5,True,False,Tally-only (no GPS confirmation),0.5526315789473685,0,-0.2521623476541578,0.301,False,Not significant
S00211,Uzkotu,Settlement,W002,LGA01,7.023185,10.881941,212.0,Ekduru,Idi-Oro,129.60025491319783,324.00063728299455,0,0,,,,False,False,Accessible,False,152,212.0,1.0,T02,True,5,True,False,Tally-only (no GPS confirmation),0.7169811320754716,0,0.7093283968014948,0.314,False,Not significant
S01508,Irjitu,Hamlet,W020,LGA01,7.710711,11.178903,26.0,Famade,Idi-Oro,150.0,1492.1383761997645,0,0,,,,False,False,Accessible,False,16,26.0,1.0,T20,True,5,True,False,Tally-only (no GPS confirmation),0.6153846153846154,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S00814,Kasami,Village,W009,LGA02,7.51162,10.998924,47.0,Washatu,Gwarin,150.0,1073.974291883863,4,1,T09,2026-03-11 12:10:00,2026-03-11 12:13:00,False,True,Accessible,False,35,47.0,1.0,T09,True,5,True,False,Visited (track-confirmed),0.7446808510638298,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S01603,Karawo,Hamlet,W023,LGA03,7.930856,11.194268,9.0,Suwade,Katsuma,150.0,414.2426770959662,84,1,T23,2026-03-12 12:56:00,2026-03-13 11:15:00,False,True,Accessible,False,8,9.0,1.0,T23,True,5,True,False,Visited (track-confirmed),0.8888888888888888,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S00153,Iblawa-Kofar,Urban block,W002,LGA01,7.079641,10.782325,574.0,Ekduru,Idi-Oro,150.0,740.9990854735009,0,0,,,,False,False,Accessible,False,342,574.0,1.0,T02,True,5,True,False,Tally-only (no GPS confirmation),0.5958188153310104,0,0.7093283968014948,0.314,False,Not significant
S00029,Kangofa,Village,W001,LGA01,7.048351,11.024543,69.0,Ekngoyi,Idi-Oro,150.0,697.2258279540204,5,1,T01,2026-03-13 11:12:00,2026-03-13 11:16:00,False,True,Accessible,False,44,69.0,1.0,T01,True,5,True,False,Visited (track-confirmed),0.6376811594202898,0,0.7093283968014948,0.314,False,Not significant
S02344,Hatifa,Settlement,W037,LGA03,8.218461,11.545366,8.0,Longoma,Katsuma,150.0,557.9358905438396,0,0,,,,False,False,Accessible,False,8,8.0,1.0,T05,True,5,True,False,Tally-only (no GPS confirmation),1.0,0,1.6708191412571471,0.097,False,Not significant
S01652,Sungota,Village,W024,LGA04,7.814324,10.684769,65.0,Kuraba-Kofar,Ilela,150.0,447.9015358419737,0,0,,,,False,False,Accessible,False,62,65.0,1.0,T24,True,5,True,False,Tally-only (no GPS confirmation),0.9538461538461539,0,0.7093283968014948,0.314,False,Not significant
S01918,Dongofa-Yamma,Settlement,W029,LGA04,7.891347,10.977307,29.0,Wangoni,Ilela,150.0,898.9328817744652,28,1,T29,2026-03-09 17:08:00,2026-03-09 17:35:00,False,True,Accessible,False,28,29.0,1.0,T29,True,5,True,False,Visited (track-confirmed),0.9655172413793104,0,-0.2521623476541578,0.301,False,Not significant
S01791,Wakoma-Yamma,Village,W027,LGA03,7.943979,11.490658,62.0,Daberi,Katsuma,150.0,1666.653737422377,28,1,T27,2026-03-11 15:24:00,2026-03-11 15:51:00,False,True,Accessible,False,62,62.0,1.0,T27,True,5,True,False,Visited (track-confirmed),1.0,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S02493,Guyosa,Village,W040,LGA04,8.393414,11.218966,80.0,Gujiri,Ilela,53.09234278771842,132.73085696929604,0,0,,,,False,False,Accessible,False,68,80.0,1.0,T08,True,5,True,False,Tally-only (no GPS confirmation),0.85,0,1.6708191412571471,0.097,False,Not significant
S01911,Harimi,Village,W029,LGA04,7.950605,10.972447,51.0,Wangoni,Ilela,150.0,651.706345677166,0,0,,,,False,False,Accessible,False,39,51.0,1.0,T29,True,5,True,False,Tally-only (no GPS confirmation),0.7647058823529411,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
S00484,Adngoyi,Village,W006,LGA01,7.168446,11.291077,55.0,Okradu,Idi-Oro,130.2392876245699,325.59821906142474,0,0,,,,False,False,Accessible,False,50,55.0,1.0,T06,True,5,True,False,Tally-only (no GPS confirmation),0.9090909090909091,0,-0.2521623476541578,0.301,False,Not significant
S02312,Olbewa,Hamlet,W036,LGA04,8.089993,10.708928,17.0,Mawako,Ilela,150.0,894.2863997499425,0,0,,,,False,False,Accessible,False,10,17.0,1.0,T04,True,5,True,False,Tally-only (no GPS confirmation),0.5882352941176471,0,-1.2136530921098103,0.001,True,Cold spot (well-covered cluster)
