campaign_date,team_id,settlement_id,ward_code,lga_name,target_population_under5,doses_administered
2026-03-10,T01,S00058,W001,Idi-Oro,166,163
2026-03-10,T01,S00072,W001,Idi-Oro,725,400
2026-03-10,T01,S02136,W033,Katsuma,13,7
2026-03-10,T01,S02148,W033,Katsuma,99,101
2026-03-10,T01,S00034,W001,Idi-Oro,15,12
2026-03-10,T01,S00108,W001,Idi-Oro,78,56
2026-03-10,T01,S02155,W033,Katsuma,128,132
2026-03-10,T01,S02129,W033,Katsuma,3,2
2026-03-11,T01,S00046,W001,Idi-Oro,31,22
2026-03-11,T01,S00117,W001,Idi-Oro,110,72
2026-03-11,T01,S02124,W033,Katsuma,86,73
2026-03-11,T01,S00032,W001,Idi-Oro,108,62
2026-03-11,T01,S00107,W001,Idi-Oro,516,366
2026-03-11,T01,S02102,W033,Katsuma,46,30
2026-03-11,T01,S00106,W001,Idi-Oro,68,41
2026-03-11,T01,S00012,W001,Idi-Oro,60,40
2026-03-11,T01,S00090,W001,Idi-Oro,37,27
2026-03-11,T01,S00096,W001,Idi-Oro,868,831
2026-03-11,T01,S02162,W033,Katsuma,16,10
2026-03-11,T01,S00100,W001,Idi-Oro,96,61
2026-03-11,T01,S02117,W033,Katsuma,73,42
2026-03-11,T01,S00022,W001,Idi-Oro,58,58
2026-03-11,T01,S00008,W001,Idi-Oro,579,420
2026-03-11,T01,S00091,W001,Idi-Oro,36,20
2026-03-11,T01,S02140,W033,Katsuma,52,39
2026-03-11,T01,S02149,W033,Katsuma,52,30
2026-03-11,T01,S02126,W033,Katsuma,90,66
2026-03-11,T01,S02100,W033,Katsuma,87,68
2026-03-11,T01,S00119,W001,Idi-Oro,63,36
2026-03-11,T01,S00052,W001,Idi-Oro,99,77
2026-03-11,T01,S00053,W001,Idi-Oro,126,121
2026-03-11,T01,S00018,W001,Idi-Oro,107,71
2026-03-11,T01,S00007,W001,Idi-Oro,378,235
2026-03-11,T01,S02137,W033,Katsuma,37,25
2026-03-11,T01,S00105,W001,Idi-Oro,381,319
2026-03-11,T01,S00080,W001,Idi-Oro,117,98
2026-03-11,T01,S02104,W033,Katsuma,24,23
2026-03-11,T01,S02131,W033,Katsuma,52,38
2026-03-12,T01,S02157,W033,Katsuma,21,21
2026-03-12,T01,S00079,W001,Idi-Oro,11,8
2026-03-12,T01,S00074,W001,Idi-Oro,68,42
2026-03-12,T01,S00044,W001,Idi-Oro,60,49
2026-03-12,T01,S00041,W001,Idi-Oro,92,80
2026-03-12,T01,S00043,W001,Idi-Oro,188,149
2026-03-12,T01,S02139,W033,Katsuma,4,4
2026-03-12,T01,S02156,W033,Katsuma,27,29
2026-03-12,T01,S00020,W001,Idi-Oro,1364,1239
2026-03-12,T01,S00016,W001,Idi-Oro,344,192
2026-03-12,T01,S00093,W001,Idi-Oro,163,172
2026-03-12,T01,S00112,W001,Idi-Oro,93,91
2026-03-12,T01,S00050,W001,Idi-Oro,225,159
2026-03-12,T01,S00061,W001,Idi-Oro,12,9
2026-03-12,T01,S02107,W033,Katsuma,66,52
2026-03-12,T01,S00116,W001,Idi-Oro,43,42
2026-03-12,T01,S02111,W033,Katsuma,17,13
2026-03-12,T01,S00066,W001,Idi-Oro,364,231
2026-03-12,T01,S00013,W001,Idi-Oro,150,157
2026-03-12,T01,S00038,W001,Idi-Oro,157,152
2026-03-12,T01,S02125,W033,Katsuma,72,70
2026-03-12,T01,S00015,W001,Idi-Oro,36,33
2026-03-12,T01,S02134,W033,Katsuma,77,79
2026-03-12,T01,S02133,W033,Katsuma,20,12
2026-03-12,T01,S02146,W033,Katsuma,50,53
2026-03-12,T01,S00005,W001,Idi-Oro,62,40
2026-03-12,T01,S00103,W001,Idi-Oro,48,42
2026-03-12,T01,S02130,W033,Katsuma,21,14
2026-03-12,T01,S00006,W001,Idi-Oro,69,65
2026-03-12,T01,S00065,W001,Idi-Oro,39,24
2026-03-13,T01,S00059,W001,Idi-Oro,63,40
2026-03-13,T01,S00069,W001,Idi-Oro,494,380
2026-03-13,T01,S00063,W001,Idi-Oro,137,98
2026-03-13,T01,S00097,W001,Idi-Oro,534,402
2026-03-13,T01,S00062,W001,Idi-Oro,34,21
2026-03-13,T01,S00089,W001,Idi-Oro,106,59
2026-03-13,T01,S00109,W001,Idi-Oro,29,18
2026-03-13,T01,S00110,W001,Idi-Oro,54,35
2026-03-13,T01,S00021,W001,Idi-Oro,246,177
2026-03-13,T01,S00023,W001,Idi-Oro,179,102
2026-03-13,T01,S00118,W001,Idi-Oro,92,55
2026-03-13,T01,S00057,W001,Idi-Oro,368,240
2026-03-13,T01,S00054,W001,Idi-Oro,173,123
2026-03-13,T01,S02161,W033,Katsuma,59,50
2026-03-13,T01,S00104,W001,Idi-Oro,77,68
2026-03-13,T01,S00113,W001,Idi-Oro,241,217
2026-03-13,T01,S02127,W033,Katsuma,162,171
2026-03-13,T01,S00115,W001,Idi-Oro,54,49
2026-03-13,T01,S00051,W001,Idi-Oro,129,79
2026-03-13,T01,S00067,W001,Idi-Oro,29,22
2026-03-13,T01,S00087,W001,Idi-Oro,44,45
2026-03-13,T01,S02123,W033,Katsuma,49,42
2026-03-13,T01,S00101,W001,Idi-Oro,495,472
2026-03-13,T01,S02128,W033,Katsuma,10,10
2026-03-13,T01,S00102,W001,Idi-Oro,38,39
2026-03-13,T01,S00082,W001,Idi-Oro,88,62
2026-03-13,T01,S00084,W001,Idi-Oro,104,59
2026-03-13,T01,S00083,W001,Idi-Oro,236,148
2026-03-13,T01,S02109,W033,Katsuma,67,46
2026-03-13,T01,S02112,W033,Katsuma,32,28
2026-03-09,T02,S02205,W034,Katsuma,61,53
2026-03-09,T02,S00206,W002,Idi-Oro,79,50
2026-03-09,T02,S00141,W002,Idi-Oro,36,34
2026-03-09,T02,S00210,W002,Idi-Oro,156,95
2026-03-09,T02,S00151,W002,Idi-Oro,100,72
2026-03-09,T02,S02188,W034,Katsuma,15,15
2026-03-09,T02,S00219,W002,Idi-Oro,175,120
2026-03-09,T02,S00148,W002,Idi-Oro,94,68
2026-03-09,T02,S02207,W034,Katsuma,41,34
2026-03-09,T02,S02214,W034,Katsuma,46,25
2026-03-09,T02,S02215,W034,Katsuma,31,31
2026-03-09,T02,S00129,W002,Idi-Oro,200,187
2026-03-09,T02,S00133,W002,Idi-Oro,33,20
2026-03-09,T02,S00212,W002,Idi-Oro,79,83
2026-03-09,T02,S00121,W002,Idi-Oro,61,56
2026-03-09,T02,S02216,W034,Katsuma,45,46
2026-03-09,T02,S00166,W002,Idi-Oro,521,493
2026-03-09,T02,S00138,W002,Idi-Oro,410,265
2026-03-09,T02,S00150,W002,Idi-Oro,37,34
2026-03-09,T02,S00149,W002,Idi-Oro,90,63
2026-03-09,T02,S00186,W002,Idi-Oro,63,55
2026-03-09,T02,S02187,W034,Katsuma,56,38
2026-03-09,T02,S00164,W002,Idi-Oro,60,46
2026-03-09,T02,S02167,W034,Katsuma,59,41
2026-03-09,T02,S02166,W034,Katsuma,11,9
2026-03-09,T02,S02194,W034,Katsuma,98,100
2026-03-09,T02,S00192,W002,Idi-Oro,94,67
2026-03-10,T02,S00182,W002,Idi-Oro,17,12
2026-03-10,T02,S02168,W034,Katsuma,41,42
2026-03-10,T02,S02196,W034,Katsuma,129,84
2026-03-10,T02,S00165,W002,Idi-Oro,18,15
2026-03-10,T02,S00145,W002,Idi-Oro,311,277
2026-03-10,T02,S00200,W002,Idi-Oro,128,87
2026-03-10,T02,S00131,W002,Idi-Oro,66,43
2026-03-10,T02,S02206,W034,Katsuma,50,52
2026-03-10,T02,S02169,W034,Katsuma,25,15
2026-03-10,T02,S00159,W002,Idi-Oro,270,202
2026-03-10,T02,S00198,W002,Idi-Oro,474,493
2026-03-10,T02,S00158,W002,Idi-Oro,87,51
2026-03-10,T02,S00183,W002,Idi-Oro,221,126
2026-03-10,T02,S00209,W002,Idi-Oro,369,323
2026-03-10,T02,S00213,W002,Idi-Oro,131,121
2026-03-10,T02,S00147,W002,Idi-Oro,49,34
2026-03-10,T02,S00162,W002,Idi-Oro,49,39
2026-03-10,T02,S00180,W002,Idi-Oro,18,11
2026-03-10,T02,S00211,W002,Idi-Oro,212,152
2026-03-10,T02,S00144,W002,Idi-Oro,133,74
2026-03-10,T02,S02189,W034,Katsuma,26,23
2026-03-10,T02,S02195,W034,Katsuma,3,3
2026-03-10,T02,S02210,W034,Katsuma,71,57
2026-03-10,T02,S00207,W002,Idi-Oro,77,70
2026-03-10,T02,S00179,W002,Idi-Oro,392,314
2026-03-10,T02,S00125,W002,Idi-Oro,582,472
2026-03-10,T02,S02198,W034,Katsuma,98,60
2026-03-11,T02,S00152,W002,Idi-Oro,69,67
2026-03-11,T02,S00197,W002,Idi-Oro,89,72
2026-03-11,T02,S00128,W002,Idi-Oro,330,195
2026-03-11,T02,S00135,W002,Idi-Oro,58,39
2026-03-11,T02,S00154,W002,Idi-Oro,64,45
2026-03-11,T02,S00174,W002,Idi-Oro,32,19
2026-03-11,T02,S02211,W034,Katsuma,8,5
2026-03-11,T02,S02213,W034,Katsuma,100,72
2026-03-11,T02,S00139,W002,Idi-Oro,929,540
2026-03-11,T02,S02176,W034,Katsuma,16,9
2026-03-11,T02,S00177,W002,Idi-Oro,118,124
2026-03-11,T02,S02190,W034,Katsuma,7,6
2026-03-11,T02,S02197,W034,Katsuma,5,3
2026-03-11,T02,S02171,W034,Katsuma,83,52
2026-03-11,T02,S02175,W034,Katsuma,48,48
2026-03-11,T02,S02172,W034,Katsuma,88,58
2026-03-11,T02,S00173,W002,Idi-Oro,148,130
2026-03-11,T02,S00160,W002,Idi-Oro,76,67
2026-03-11,T02,S02182,W034,Katsuma,72,46
2026-03-11,T02,S02199,W034,Katsuma,27,22
2026-03-11,T02,S00185,W002,Idi-Oro,179,174
2026-03-11,T02,S02165,W034,Katsuma,15,15
2026-03-11,T02,S00204,W002,Idi-Oro,14,9
2026-03-11,T02,S00203,W002,Idi-Oro,37,21
2026-03-11,T02,S00178,W002,Idi-Oro,255,217
2026-03-11,T02,S02191,W034,Katsuma,11,8
2026-03-11,T02,S00175,W002,Idi-Oro,29,21
2026-03-12,T02,S02173,W034,Katsuma,22,17
2026-03-12,T02,S02204,W034,Katsuma,46,44
2026-03-12,T02,S00142,W002,Idi-Oro,419,394
2026-03-12,T02,S00156,W002,Idi-Oro,64,64
2026-03-12,T02,S00199,W002,Idi-Oro,126,81
2026-03-12,T02,S00201,W002,Idi-Oro,64,48
2026-03-12,T02,S00184,W002,Idi-Oro,71,71
2026-03-12,T02,S00140,W002,Idi-Oro,73,62
2026-03-12,T02,S02177,W034,Katsuma,61,51
2026-03-12,T02,S02185,W034,Katsuma,20,15
2026-03-12,T02,S00168,W002,Idi-Oro,325,255
2026-03-12,T02,S00216,W002,Idi-Oro,40,30
2026-03-12,T02,S00188,W002,Idi-Oro,860,890
2026-03-12,T02,S00123,W002,Idi-Oro,105,110
2026-03-12,T02,S00136,W002,Idi-Oro,107,91
2026-03-12,T02,S00191,W002,Idi-Oro,99,68
2026-03-12,T02,S02203,W034,Katsuma,61,35
2026-03-12,T02,S02170,W034,Katsuma,34,33
2026-03-12,T02,S02192,W034,Katsuma,12,12
2026-03-12,T02,S00124,W002,Idi-Oro,69,62
2026-03-12,T02,S00167,W002,Idi-Oro,137,110
2026-03-12,T02,S00170,W002,Idi-Oro,28,24
2026-03-12,T02,S00146,W002,Idi-Oro,90,71
2026-03-12,T02,S00172,W002,Idi-Oro,14,11
2026-03-12,T02,S00193,W002,Idi-Oro,48,38
2026-03-12,T02,S00202,W002,Idi-Oro,30,26
2026-03-12,T02,S00218,W002,Idi-Oro,85,61
2026-03-13,T02,S02164,W034,Katsuma,10,8
2026-03-13,T02,S00163,W002,Idi-Oro,140,146
2026-03-13,T02,S02179,W034,Katsuma,24,22
2026-03-13,T02,S00157,W002,Idi-Oro,145,84
2026-03-13,T02,S02174,W034,Katsuma,16,9
2026-03-13,T02,S00205,W002,Idi-Oro,89,54
2026-03-13,T02,S02212,W034,Katsuma,40,31
2026-03-13,T02,S00181,W002,Idi-Oro,155,134
2026-03-13,T02,S00130,W002,Idi-Oro,265,192
2026-03-13,T02,S02201,W034,Katsuma,38,21
2026-03-13,T02,S02180,W034,Katsuma,21,14
2026-03-13,T02,S00153,W002,Idi-Oro,574,342
2026-03-13,T02,S00134,W002,Idi-Oro,30,23
2026-03-13,T02,S00189,W002,Idi-Oro,23,15
2026-03-13,T02,S00171,W002,Idi-Oro,422,362
2026-03-13,T02,S00214,W002,Idi-Oro,41,41
2026-03-13,T02,S00217,W002,Idi-Oro,26,24
2026-03-13,T02,S00132,W002,Idi-Oro,109,83
2026-03-13,T02,S00143,W002,Idi-Oro,26,15
2026-03-13,T02,S00155,W002,Idi-Oro,79,47
2026-03-13,T02,S02200,W034,Katsuma,38,35
2026-03-13,T02,S02202,W034,Katsuma,150,85
2026-03-13,T02,S02183,W034,Katsuma,50,33
2026-03-09,T03,S00287,W003,Idi-Oro,35,19
2026-03-09,T03,S02236,W035,Ilela,93,68
2026-03-09,T03,S02249,W035,Ilela,77,69
2026-03-09,T03,S02242,W035,Ilela,26,25
2026-03-09,T03,S00265,W003,Idi-Oro,408,263
2026-03-09,T03,S00252,W003,Idi-Oro,69,62
2026-03-09,T03,S02224,W035,Ilela,79,77
2026-03-09,T03,S00224,W003,Idi-Oro,889,679
2026-03-09,T03,S00226,W003,Idi-Oro,73,67
2026-03-09,T03,S00315,W003,Idi-Oro,59,34
2026-03-09,T03,S02261,W035,Ilela,43,33
2026-03-09,T03,S02275,W035,Ilela,16,9
2026-03-09,T03,S00301,W003,Idi-Oro,65,67
2026-03-09,T03,S00306,W003,Idi-Oro,68,58
2026-03-09,T03,S02228,W035,Ilela,23,24
2026-03-09,T03,S02250,W035,Ilela,83,58
2026-03-09,T03,S02260,W035,Ilela,84,65
2026-03-09,T03,S02255,W035,Ilela,42,27
2026-03-09,T03,S02257,W035,Ilela,20,18
2026-03-09,T03,S00277,W003,Idi-Oro,771,624
2026-03-09,T03,S02219,W035,Ilela,68,56
2026-03-09,T03,S00271,W003,Idi-Oro,165,142
2026-03-09,T03,S00227,W003,Idi-Oro,6,6
2026-03-09,T03,S00298,W003,Idi-Oro,21,18
2026-03-09,T03,S00276,W003,Idi-Oro,93,88
2026-03-09,T03,S00231,W003,Idi-Oro,108,100
2026-03-09,T03,S00326,W003,Idi-Oro,28,17
2026-03-10,T03,S00288,W003,Idi-Oro,59,56
2026-03-10,T03,S02251,W035,Ilela,46,47
2026-03-10,T03,S02226,W035,Ilela,18,15
2026-03-10,T03,S00283,W003,Idi-Oro,24,17
2026-03-10,T03,S00242,W003,Idi-Oro,103,66
2026-03-10,T03,S02270,W035,Ilela,66,66
2026-03-10,T03,S00235,W003,Idi-Oro,422,402
2026-03-10,T03,S00272,W003,Idi-Oro,73,42
2026-03-10,T03,S02239,W035,Ilela,56,49
2026-03-10,T03,S00279,W003,Idi-Oro,251,161
2026-03-10,T03,S02220,W035,Ilela,37,23
2026-03-10,T03,S00300,W003,Idi-Oro,74,74
2026-03-10,T03,S00308,W003,Idi-Oro,23,19
2026-03-10,T03,S00267,W003,Idi-Oro,502,474
2026-03-10,T03,S02271,W035,Ilela,28,22
2026-03-10,T03,S02247,W035,Ilela,27,28
2026-03-10,T03,S00270,W003,Idi-Oro,24,15
2026-03-10,T03,S00303,W003,Idi-Oro,129,120
2026-03-10,T03,S00305,W003,Idi-Oro,9,9
2026-03-10,T03,S00239,W003,Idi-Oro,206,217
2026-03-10,T03,S00295,W003,Idi-Oro,239,204
2026-03-10,T03,S02238,W035,Ilela,53,53
2026-03-10,T03,S00282,W003,Idi-Oro,79,68
2026-03-10,T03,S00249,W003,Idi-Oro,75,75
2026-03-10,T03,S02223,W035,Ilela,99,60
2026-03-10,T03,S02231,W035,Ilela,105,97
2026-03-10,T03,S00281,W003,Idi-Oro,66,45
2026-03-11,T03,S00313,W003,Idi-Oro,169,124
2026-03-11,T03,S00230,W003,Idi-Oro,52,53
2026-03-11,T03,S00284,W003,Idi-Oro,115,68
2026-03-11,T03,S00263,W003,Idi-Oro,60,57
2026-03-11,T03,S02232,W035,Ilela,20,18
2026-03-11,T03,S02274,W035,Ilela,10,10
2026-03-11,T03,S00289,W003,Idi-Oro,96,60
2026-03-11,T03,S02221,W035,Ilela,17,11
2026-03-11,T03,S00302,W003,Idi-Oro,261,202
2026-03-11,T03,S00319,W003,Idi-Oro,757,564
2026-03-11,T03,S02225,W035,Ilela,15,14
2026-03-11,T03,S00240,W003,Idi-Oro,73,56
2026-03-11,T03,S02229,W035,Ilela,87,73
2026-03-11,T03,S00241,W003,Idi-Oro,36,20
2026-03-11,T03,S00251,W003,Idi-Oro,165,138
2026-03-11,T03,S02256,W035,Ilela,26,19
2026-03-11,T03,S00318,W003,Idi-Oro,545,490
2026-03-11,T03,S02262,W035,Ilela,34,19
2026-03-11,T03,S00228,W003,Idi-Oro,84,61
2026-03-11,T03,S00260,W003,Idi-Oro,25,22
2026-03-11,T03,S00316,W003,Idi-Oro,52,55
2026-03-11,T03,S00221,W003,Idi-Oro,32,21
2026-03-11,T03,S00311,W003,Idi-Oro,184,163
2026-03-11,T03,S02263,W035,Ilela,24,19
2026-03-11,T03,S00290,W003,Idi-Oro,47,30
2026-03-11,T03,S00223,W003,Idi-Oro,270,187
2026-03-11,T03,S02218,W035,Ilela,100,102
2026-03-12,T03,S00248,W003,Idi-Oro,86,74
2026-03-12,T03,S00274,W003,Idi-Oro,970,892
2026-03-12,T03,S02277,W035,Ilela,11,7
2026-03-12,T03,S00286,W003,Idi-Oro,74,47
2026-03-12,T03,S00285,W003,Idi-Oro,229,141
2026-03-12,T03,S00304,W003,Idi-Oro,88,54
2026-03-12,T03,S02222,W035,Ilela,35,28
2026-03-12,T03,S00314,W003,Idi-Oro,78,79
2026-03-12,T03,S02246,W035,Ilela,15,15
2026-03-12,T03,S00258,W003,Idi-Oro,169,135
2026-03-12,T03,S00234,W003,Idi-Oro,71,44
2026-03-12,T03,S02266,W035,Ilela,29,21
2026-03-12,T03,S00324,W003,Idi-Oro,183,116
2026-03-12,T03,S00261,W003,Idi-Oro,945,704
2026-03-12,T03,S02240,W035,Ilela,30,32
2026-03-12,T03,S02248,W035,Ilela,238,240
2026-03-12,T03,S00322,W003,Idi-Oro,126,109
2026-03-12,T03,S00328,W003,Idi-Oro,109,114
2026-03-12,T03,S02269,W035,Ilela,176,183
2026-03-12,T03,S00246,W003,Idi-Oro,567,507
2026-03-12,T03,S00297,W003,Idi-Oro,61,50
2026-03-12,T03,S02259,W035,Ilela,60,34
2026-03-12,T03,S02254,W035,Ilela,72,42
2026-03-12,T03,S00254,W003,Idi-Oro,62,57
2026-03-12,T03,S02264,W035,Ilela,14,15
2026-03-12,T03,S00291,W003,Idi-Oro,13,8
2026-03-12,T03,S00266,W003,Idi-Oro,720,603
2026-03-13,T03,S00321,W003,Idi-Oro,109,106
2026-03-13,T03,S00236,W003,Idi-Oro,14,12
2026-03-13,T03,S02234,W035,Ilela,248,181
2026-03-13,T03,S00307,W003,Idi-Oro,133,125
2026-03-13,T03,S02252,W035,Ilela,41,35
2026-03-13,T03,S00294,W003,Idi-Oro,91,77
2026-03-13,T03,S00309,W003,Idi-Oro,95,54
2026-03-13,T03,S02241,W035,Ilela,15,14
2026-03-13,T03,S00325,W003,Idi-Oro,50,42
2026-03-13,T03,S00296,W003,Idi-Oro,102,108
2026-03-13,T03,S00320,W003,Idi-Oro,168,102
2026-03-13,T03,S00278,W003,Idi-Oro,24,14
2026-03-13,T03,S02272,W035,Ilela,45,45
2026-03-13,T03,S02244,W035,Ilela,62,44
2026-03-13,T03,S00245,W003,Idi-Oro,87,56
2026-03-13,T03,S00317,W003,Idi-Oro,77,72
2026-03-13,T03,S02235,W035,Ilela,14,11
2026-03-13,T03,S02243,W035,Ilela,115,95
2026-03-13,T03,S02217,W035,Ilela,44,46
2026-03-13,T03,S02237,W035,Ilela,87,75
2026-03-13,T03,S00269,W003,Idi-Oro,168,112
2026-03-13,T03,S02268,W035,Ilela,37,25
2026-03-13,T03,S00255,W003,Idi-Oro,103,79
2026-03-13,T03,S00256,W003,Idi-Oro,262,206
2026-03-09,T04,S00348,W004,Gwarin,15,15
2026-03-09,T04,S02281,W036,Ilela,23,15
2026-03-09,T04,S00339,W004,Gwarin,95,73
2026-03-09,T04,S00335,W004,Gwarin,12,11
2026-03-09,T04,S02283,W036,Ilela,68,40
2026-03-09,T04,S00351,W004,Gwarin,12,9
2026-03-09,T04,S02303,W036,Ilela,62,43
2026-03-09,T04,S02282,W036,Ilela,75,48
2026-03-09,T04,S02300,W036,Ilela,93,60
2026-03-09,T04,S00366,W004,Gwarin,30,27
2026-03-09,T04,S00353,W004,Gwarin,23,19
2026-03-09,T04,S00333,W004,Gwarin,13,9
2026-03-09,T04,S02302,W036,Ilela,78,75
2026-03-09,T04,S00350,W004,Gwarin,116,81
2026-03-10,T04,S02292,W036,Ilela,57,45
2026-03-10,T04,S00356,W004,Gwarin,8,5
2026-03-10,T04,S00363,W004,Gwarin,17,15
2026-03-10,T04,S00358,W004,Gwarin,5,4
2026-03-10,T04,S02304,W036,Ilela,35,29
2026-03-10,T04,S00332,W004,Gwarin,8,5
2026-03-10,T04,S00354,W004,Gwarin,14,11
2026-03-10,T04,S00330,W004,Gwarin,95,82
2026-03-10,T04,S00337,W004,Gwarin,25,18
2026-03-10,T04,S00360,W004,Gwarin,86,59
2026-03-10,T04,S02310,W036,Ilela,23,24
2026-03-10,T04,S02299,W036,Ilela,21,22
2026-03-10,T04,S02286,W036,Ilela,76,49
2026-03-10,T04,S02291,W036,Ilela,31,32
2026-03-11,T04,S02288,W036,Ilela,4,3
2026-03-11,T04,S02290,W036,Ilela,29,18
2026-03-11,T04,S00349,W004,Gwarin,55,35
2026-03-11,T04,S02287,W036,Ilela,8,7
2026-03-11,T04,S00338,W004,Gwarin,22,15
2026-03-11,T04,S00345,W004,Gwarin,64,39
2026-03-11,T04,S02298,W036,Ilela,135,106
2026-03-11,T04,S02279,W036,Ilela,84,84
2026-03-11,T04,S02305,W036,Ilela,17,12
2026-03-11,T04,S00334,W004,Gwarin,5,4
2026-03-11,T04,S00344,W004,Gwarin,9,6
2026-03-11,T04,S00342,W004,Gwarin,3,3
2026-03-11,T04,S02296,W036,Ilela,41,38
2026-03-11,T04,S00367,W004,Gwarin,83,65
2026-03-12,T04,S02289,W036,Ilela,17,16
2026-03-12,T04,S00340,W004,Gwarin,56,47
2026-03-12,T04,S02293,W036,Ilela,15,14
2026-03-12,T04,S02311,W036,Ilela,109,94
2026-03-12,T04,S00341,W004,Gwarin,6,5
2026-03-12,T04,S02284,W036,Ilela,67,65
2026-03-12,T04,S00361,W004,Gwarin,69,40
2026-03-12,T04,S00352,W004,Gwarin,23,19
2026-03-12,T04,S02285,W036,Ilela,54,31
2026-03-12,T04,S02280,W036,Ilela,35,32
2026-03-12,T04,S02307,W036,Ilela,73,47
2026-03-12,T04,S00368,W004,Gwarin,25,15
2026-03-12,T04,S02309,W036,Ilela,12,9
2026-03-12,T04,S00331,W004,Gwarin,64,54
2026-03-13,T04,S00357,W004,Gwarin,221,195
2026-03-13,T04,S00362,W004,Gwarin,440,396
2026-03-13,T04,S02306,W036,Ilela,67,67
2026-03-13,T04,S00359,W004,Gwarin,93,71
2026-03-13,T04,S02301,W036,Ilela,99,100
2026-03-13,T04,S00364,W004,Gwarin,56,58
2026-03-13,T04,S02308,W036,Ilela,33,31
2026-03-13,T04,S00343,W004,Gwarin,47,41
2026-03-13,T04,S02312,W036,Ilela,17,10
2026-03-13,T04,S02297,W036,Ilela,29,23
2026-03-13,T04,S00346,W004,Gwarin,17,10
2026-03-09,T05,S00381,W005,Gwarin,41,40
2026-03-09,T05,S02352,W037,Katsuma,20,14
2026-03-09,T05,S02318,W037,Katsuma,32,28
2026-03-09,T05,S02321,W037,Katsuma,77,43
2026-03-09,T05,S00372,W005,Gwarin,43,34
2026-03-09,T05,S02338,W037,Katsuma,56,53
2026-03-09,T05,S02334,W037,Katsuma,33,32
2026-03-09,T05,S00385,W005,Gwarin,14,12
2026-03-09,T05,S00397,W005,Gwarin,108,73
2026-03-09,T05,S00374,W005,Gwarin,81,85
2026-03-09,T05,S00373,W005,Gwarin,59,59
2026-03-09,T05,S00400,W005,Gwarin,14,15
2026-03-09,T05,S02323,W037,Katsuma,29,18
2026-03-10,T05,S00369,W005,Gwarin,9,5
2026-03-10,T05,S02350,W037,Katsuma,21,20
2026-03-10,T05,S02355,W037,Katsuma,64,52
2026-03-10,T05,S02345,W037,Katsuma,73,64
2026-03-10,T05,S02348,W037,Katsuma,6,5
