team_id,file_label_date,gap_started_after,resumed_at,gap_min
T23,2026-03-13,2026-03-13 09:52:00,2026-03-13 10:18:00,26.0
T24,2026-03-09,2026-03-09 15:36:00,2026-03-09 15:49:00,13.0
T24,2026-03-11,2026-03-11 13:00:00,2026-03-11 13:14:00,14.0
T24,2026-03-12,2026-03-12 09:06:00,2026-03-12 09:19:00,13.0
T24,2026-03-13,2026-03-13 12:22:00,2026-03-13 12:37:00,15.0
T25,2026-03-09,2026-03-09 17:14:00,2026-03-09 17:25:00,11.0
T25,2026-03-11,2026-03-11 14:50:00,2026-03-11 15:11:00,21.0
T25,2026-03-12,2026-03-12 15:17:00,2026-03-12 15:33:00,16.0
T25,2026-03-13,2026-03-13 12:08:00,2026-03-13 12:23:00,15.0
T26,2026-03-09,2026-03-09 15:56:00,2026-03-09 16:06:00,10.0
T26,2026-03-12,2026-03-12 12:51:00,2026-03-12 13:04:00,13.0
T26,2026-03-13,2026-03-13 13:17:00,2026-03-13 13:36:00,19.0
T27,2026-03-09,2026-03-09 17:57:00,2026-03-09 18:09:00,12.0
T27,2026-03-10,2026-03-10 11:47:00,2026-03-10 12:00:00,13.0
T27,2026-03-11,2026-03-11 16:11:00,2026-03-11 16:22:00,11.0
T27,2026-03-13,2026-03-13 09:53:00,2026-03-13 10:15:00,22.0
T28,2026-03-11,2026-03-11 09:44:00,2026-03-11 10:06:00,22.0
T28,2026-03-12,2026-03-12 08:42:00,2026-03-12 08:53:00,11.0
T28,2026-03-12,2026-03-12 13:50:00,2026-03-12 13:57:00,7.0
T29,2026-03-10,2026-03-10 08:47:00,2026-03-10 09:04:00,17.0
T29,2026-03-13,2026-03-13 11:43:00,2026-03-13 11:48:00,5.0
T30,2026-03-13,2026-03-13 14:58:00,2026-03-13 15:16:00,18.0
T31,2026-03-10,2026-03-10 12:41:00,2026-03-10 12:53:00,12.0
T31,2026-03-11,2026-03-11 09:57:00,2026-03-11 10:13:00,16.0
T31,2026-03-13,2026-03-13 08:01:00,2026-03-13 08:26:00,25.0
T32,2026-03-10,2026-03-10 08:55:00,2026-03-10 09:20:00,25.0
T32,2026-03-11,2026-03-11 13:45:00,2026-03-11 13:54:00,9.0
T32,2026-03-13,2026-03-13 15:15:00,2026-03-13 15:26:00,11.0
